STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2012,197,157.9073639,456.6289673,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2012,323.1,282.0213928,719.3375244,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2012,284.1,376.9494629,809.3344727,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2012,207.7,269.5404968,648.3569946,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2012,161.3,156.7496796,229.4620514,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2012,156.6,177.1690369,206.7221832,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2012,22.1,27.74985695,34.57357788,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2012,28.4,19.96788597,31.84071541,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2012,121,112.9303207,296.9419556,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2012,67.6,65.59458923,265.0882568,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2013,105,31.86000061,101.9776917,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2013,334.8,343.628418,988.9036865,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2013,153.9,126.9099274,262.3368225,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2013,259.9,369.0801697,657.2838745,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2013,507.8,512.4713745,983.9572754,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2013,251,238.2124329,570.1419678,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2013,170,270.1707153,217.2575378,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2013,229.7,247.0193329,208.765564,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2013,102.6,123.6284485,125.2117462,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2013,351,180.276062,175.1761017,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2013,116.7,162.0573578,459.2760315,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2013,197.8,256.958374,605.5212402,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2014,188.9,212.5814209,181.620285,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2014,146.4,112.859993,391.161438,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2014,138.5,79.96313477,147.302002,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2014,110.1,93.84702301,341.7688293,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2014,238.4,302.0348511,555.777832,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2014,340.6,223.074295,650.5269165,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2014,349.4,271.4596252,295.9619141,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2014,196,212.4848633,176.2760925,,,,
