Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/02/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,243.3,257.8559875,330.9198608
1/03/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,309.1085815,294.3000793
1/04/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,231.8,309.9042053,294.8093262
1/05/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,211.2,237.5896301,308.7317505
1/06/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,169.3,136.0249023,170.4988861
1/07/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,113.9503937,152.8075562
1/08/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,137.2324829,165.4299622
1/09/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,105.8718567,155.6921082
1/10/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,175.1,157.9663086,220.6249542
1/11/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,397.8,311.1928406,240.9576874
1/12/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,283.8776855,260.7195435
1/01/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,492.2,474.6147766,450.4286194
1/02/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,371.9,472.2604065,471.7885742
1/03/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,322.9,433.6885681,415.8926392
1/04/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,244.5,295.2841492,276.9338379
1/05/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,208.5,203.0597687,281.5819702
1/06/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,250.2,151.7782745,206.1682587
1/07/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,186.8505096,160.7741241
1/08/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,211.7270508,170.3164063
1/09/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,185.4481659,200.0276031
1/10/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,155.9,191.266861,149.5821838
1/11/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,194.1,175.6158447,200.776413
1/12/2014,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,546.5,403.969635,443.7086487
1/01/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,393.6,472.5024414,463.7485352
1/02/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,108.6,214.7770386,193.7281036
1/03/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,407.6,438.0780334,494.3712769
1/04/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,398,436.526947,429.6035156
1/05/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,263.4,257.4141846,360.9660645
1/06/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,268.1,185.2579041,148.405304
1/07/2015,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,742.2,305.0727844,175.821106
