STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2014,307.8,334.1703796,467.1970215
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2014,455.4,272.1025696,321.6827087
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2014,161,81.08779144,162.9725647
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2014,47.8,3.149999857,29.06280518
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2014,77.8,33.80276871,87.64030457
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2014,25.4,6.929999352,30.24555969
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2014,12,2.646003246,23.26003838
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2014,11.8,2.874755859,11.12479115
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2014,12.2,1.482969999,6.102204323
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2014,1.6,0,10.33676624
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2014,24.2,45.5927887,107.823204
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2015,592.2,487.0360413,482.4977722
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2015,876.6,607.6932983,548.770813
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2015,253.6,262.4353333,378.8496094
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2015,73.8,4.5,34.49991608
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2015,29,21.28839684,40.41369629
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2015,159.2,11.25,97.40452576
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2015,70.3,2.159999847,58.26069641
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2015,17.6,6.863250732,25.36624146
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2015,9.6,0,8.739732742
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2015,19.8,4.751041889,7.305753231
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2015,18.4,26.09060287,30.65176392
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2015,236,175.053299,184.661911
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2016,132.4,0,92.40481567
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2016,187.8,143.4059906,134.1045532
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2016,,269.2290955,338.6878357
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2016,,29.53259277,128.5923462
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2016,,122.4543991,201.5028992
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2016,32.6,9.269999504,49.48203278
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2016,,1.515527487,44.76544189
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2016,,1.439999938,35.99124146
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2016,,2.159999847,25.20065689
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2016,4,0.963889599,5.298496723
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2016,,4.450573444,33.23668671
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2016,168.6,103.8478851,207.8190308
